transaction_amount_usd,usd_eth,historic_usd_val,transaction_count_total,transaction_count_sent,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,ether_sent_out,ether_recv_in
172776265.10000888,739.94,69284449.16,39060,30007,57.704609215000005,17782,12903,4879,3483,10322,90,14439,137873.36313545,95627.00865146362
262516622.3001028,716.69,77187051.05,48854,30967,57.266989415000005,18026,13711,4315,3125,10838,93,14420,176084.47078476,190205.867157869
245572421.83250952,739.6,82192122.13,84404,38172,68.31686852499999,21093,15283,5810,4043,12300,91,18507,164267.31734784,167766.78464311393
554520382.8459687,692.99,191691623.19,81485,36485,65.495299375,20366,14801,5565,3567,11855,91,17594,317317.4947172538,482867.7645880301
182688375.34423015,741.13,184985059.07,46571,34691,62.305976052,20333,14111,6222,3630,11626,96,16885,136727.0399513,109772.73113370554
323335605.1397374,756.2,230760111.32,59344,34246,62.349227655,21225,14317,6908,4415,11606,95,16503,185979.14327225057,241600.3398535593
288721676.5352276,861.97,248935348.3,66132,49014,91.12839083,29912,21790,8122,5353,17765,97,23064,175611.91211173,159343.6855717481
318637149.7278747,941.1,84376713.88,73573,50959,98.459286905,30996,22689,8307,5557,18882,90,24093,189515.46256571,149064.01860300178
699105310.0839761,944.83,378780980.82000005,117845,65627,132.80645556000002,35354,29002,6352,4861,24530,98,31222,293571.99090840877,446355.0965930213
341141975.3861303,967.13,397456205.72,80522,54021,172.2190374028074,30221,25100,5121,4354,21498,96,25380,171756.16321143,180980.25835147293
311862914.48838323,1006.41,335420516.11,69974,50362,229.11004136032824,30352,25013,5339,4484,21559,98,22761,193156.881096,116719.72435146499
942118318.2847271,1117.75,351309100.08000004,82538,62147,213.63164828683452,34216,25360,8856,7348,21172,119,32792,430820.3115333,412050.02466417453
1078524539.1270056,1136.11,392793811.25,83345,62113,215.8909754986304,33313,27261,6052,5117,23687,270,32544,459338.14766999,489975.33353077905
1033748656.559863,1289.24,635816315.04,109353,65980,209.89681424163172,31540,26758,4782,3863,24309,264,37249,326584.09486827,475243.8476093625
894692038.2448097,1248.99,625573082.47,77053,57034,211.32629275949242,28248,23473,4775,4112,20976,272,32339,354214.62872616004,362117.7984708629
1118635347.9374537,1139.32,599578402.23,81636,52753,179.45713369306094,25123,20567,4556,3984,19168,275,30674,478134.2844613683,503710.4544508371
657830525.6687194,1261.03,588637511.24,62399,47188,154.73660890000002,23977,19117,4860,4439,17887,273,26906,290487.73561956995,231173.54576843788
616126538.430965,1385.02,581912499.6800001,66111,51822,168.8570793452,23979,20549,3430,3136,18820,272,29998,245662.55404311002,199187.72857444416
453817951.75547224,1359.48,494583173.43,49583,42665,140.48246995110003,19337,17392,1945,1700,16023,272,24439,195010.49344498,138806.8129923874
828753967.53523,1278.69,541414710.9100001,158946,48128,153.43702022199997,20813,17941,2872,2710,16344,279,29022,294688.85007395997,353438.5049027975
672222672.7030125,1050.26,388762928.49,131605,54550,170.49227567399998,25952,19625,6327,5854,17746,282,33911,346011.87746459,294041.7023185232
1159927718.9593017,1024.69,591044118.9200001,132867,44672,146.405624314,25947,18770,7177,6834,17437,281,24752,462594.32067690435,669384.8329786418
651229206.9376153,1012.97,607084576.52,132871,42675,140.52898366200003,23162,17602,5560,5170,16519,276,24023,310120.86647455004,332770.04533687106
403798122.2594438,1037.36,346685157.29,83017,39211,131.53197823,21078,15140,5938,5164,14209,280,23341,225251.52517233,164004.01028252067
432912898.9315314,1150.5,231752244.35,41871,40585,137.2807982579186,22211,16848,5363,4417,15534,282,22903,254454.2363442,121828.1616840759
1386713022.5449502,1049.09,870421934.64,202373,34855,115.90838853,25346,14014,11332,10552,12767,305,20180,448592.7541144645,873231.8963396914
466944644.6137391,999.64,381581284.7,57742,36880,121.25916109399999,18511,14318,4193,3425,13167,284,21849,250787.16742468002,216325.6377989395
401134552.5820021,984.47,762731691.14,53561,33161,111.02962801572,17142,13171,3971,3104,12307,283,19273,213848.59871352,193613.8456291233
440691790.9965785,1061.78,334808804.52,52552,34253,112.859828508,18667,13434,5233,3960,12197,282,19980,229934.02856921,185115.97331119695
521989777.9692971,1046.37,311085790.07,49111,35358,112.48664700999998,16776,12486,4290,3423,11092,276,21904,258386.55906242,240471.18530075665
941118922.8004279,1048.58,959486545.77,79911,33331,108.76677962999999,16845,13221,3624,2859,12133,275,19507,347089.78339046397,550427.738210585
453281736.8645431,1109.08,1018952322.5899999,72144,33133,111.04126715999999,17613,13935,3678,2830,13083,274,18565,202443.63553732997,206257.03246186138
526439613.001221,1231.58,492505483.78999996,53159,37209,120.33920319999999,18732,14380,4352,3412,13199,276,22024,215482.43257124,211968.16990786896
548425266.4477075,1169.96,440743546.98999995,53130,38052,116.76726485,16524,12466,4058,3370,11561,277,24811,245909.65513697,222845.91466687588
522694716.55523473,1063.75,926964624.8100001,54636,36477,115.83103133,17574,13579,3995,3182,12632,276,22368,255881.69158436,235488.19471903343
445890054.08824396,1111.31,366331884.56,53567,34621,109.04919737,16975,12732,4243,3540,11741,272,21434,213843.96361406,187385.2650334317
