transaction_amount_usd,account_balance,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,unique_incoming_address,ether_recv_in
2746069.0161256576,12217.634439119984,1231,647,584,1.499562736383822,502,414,88,76,367,146,340,511,3474.0329420805924
9220912.299770702,2671.211993062485,2657,2077,580,3.3420181002591787,2226,460,1766,1722,426,183,1585,677,4210.62610503276
17235052.788624972,8567.709196928694,2536,1913,623,3.6597391195200215,1844,740,1104,1012,638,187,1199,520,16076.14682327573
8714576.024340773,17008.036684566618,2617,1595,1022,2.5136821088548826,1625,354,1271,1066,327,193,1165,966,10454.220384856773
130432759.85591014,205524.3953769263,3266,1997,1269,4.043781099416676,2214,825,1389,1100,794,208,1160,1105,142607.3613324171
34333993.43170365,2403.156854616377,3231,2406,825,5.1524113740193425,1444,840,604,456,817,194,1486,784,19949.431957341432
23354254.85615317,13178.736741431565,3199,1605,1594,3.7684968775790133,1135,884,251,203,860,204,735,1534,22339.621522915768
11260573.714637263,10933.752748159057,3085,2151,934,3.9355258459391718,1649,1382,267,213,915,216,809,807,6744.849139665432
32165595.176899116,6000.578055757853,4250,3069,1181,4.2026280293152025,2632,1272,1360,1138,843,256,1572,1071,17963.726602840114
34885794.885802105,194526.6580122904,6343,4949,1394,7.3177266595924,3630,1851,1779,1508,1682,246,2923,1235,16945.684969091817
23771076.355725236,6355.7029542519485,4283,3080,1203,4.748322227158128,2540,1219,1321,1236,1130,278,1816,1060,15470.293993452364
38136995.19384382,14476.128227641573,5036,3624,1412,5.6580539540000006,2938,1720,1218,1069,1588,280,1990,1302,27838.494228683623
72554715.39378917,175762.6925433454,11842,10106,1736,15.718128111882425,2620,1700,920,802,1563,260,2884,1378,41720.75646523002
28573333.808097247,30433.86136474375,3348,2118,1230,3.945008083867053,1747,1065,682,591,1000,253,1145,1093,26991.121645688883
35350955.333706535,26397.35150934117,4258,2965,1293,4.981388123845095,1950,1220,730,606,1111,250,1687,1126,24026.66500142427
63670165.93323435,11885.929781837784,5550,4280,1270,5.968823499436391,2076,1098,978,752,1024,275,2785,1150,37198.67778944405
58474905.10435219,10426.648428223305,5569,4291,1278,6.036698144500041,2094,1152,942,700,1027,279,2665,1127,39314.21952234302
50932847.603565015,12867.58745261021,6060,4544,1516,6.426495135999999,2104,1245,859,667,1130,273,2822,1308,35640.55953596291
60537898.5363747,10163.687313547342,5107,3864,1243,5.347687451999999,1737,1000,737,632,913,261,2500,1107,40494.36964596613
60491345.52706108,160163.69833775636,7018,5472,1546,7.3151775751861905,2518,1563,955,821,1315,272,3326,1366,37125.24179391055
63421701.730628215,17838.86802454082,6896,5436,1460,7.544152663999999,2444,1481,963,794,1367,274,3552,1280,47889.54919055144
62797012.87045914,14656.226408140117,6730,5374,1356,6.6762034775400005,3468,1016,2452,2262,906,264,3977,1295,41128.32677161284
57066671.694233984,15612.383419110087,5407,4061,1346,6.078458742351623,1517,1368,149,129,1270,265,2530,1095,38213.643319512325
99737521.2353522,34497.84793842271,6032,4128,1904,5.9388820648000005,1460,1284,176,153,1155,265,2556,1396,67126.11250708743
107033727.05458651,32379.35433829296,8113,6240,1873,9.735999919,2730,2042,688,578,1896,298,3692,1555,56046.90227921925
108230517.3899779,30987.072315038567,9345,7640,1705,11.770122968985255,3202,2565,637,564,2351,305,4515,1363,56584.87152780459
98460241.53948084,32864.95423832481,8780,7412,1368,12.116333140557135,3280,2691,589,543,2371,328,4351,1109,51613.269024296795
106123059.16688208,30040.895212900283,9609,7566,2043,11.716980972381771,3040,2602,438,411,2362,329,4367,1719,51553.191663647856
130907950.38368213,27786.667394512817,10653,8627,2026,12.895177341999428,2922,2613,309,283,2270,306,4994,1705,57438.03194635453
124500729.62959602,25378.242811639437,10607,8480,2127,13.360488665725992,3365,2985,380,349,2735,313,4935,1746,53595.018687242344
159889074.93700704,19935.37518154955,10950,8890,2060,13.81596697514777,3336,2978,358,332,2632,337,5132,1665,59294.51629287526
143773663.2356821,31891.278965889967,8909,6786,2123,12.467382867067776,2990,2743,247,240,2481,338,3998,1745,62089.22407535351
153319993.15518233,33407.304572976485,10078,7565,2513,12.284855642051628,2778,2558,220,213,2347,323,4627,2060,74961.97261465156
178225388.97911996,19128.28741572462,10041,7932,2109,12.623237354712613,3322,3042,280,260,2653,318,4315,1778,63533.39661003785
155400246.3808959,29641.463535969277,9848,7627,2221,12.409885737449581,3764,3481,283,264,2984,329,3825,1812,55122.83183765811
137646211.5825736,26487.73033022664,8567,6430,2137,10.176371626339794,3019,2686,333,289,2392,316,3504,1767,49052.802887033715
156692734.19367853,27589.709230547727,8346,5985,2361,9.289669523969176,3071,2835,236,214,2527,356,3153,1977,66296.76151844904
178001813.07513285,48936.068930086316,9401,7125,2276,11.455966561052499,4109,3928,181,167,3467,362,3412,2063,94784.90512877265
204023360.45241067,68478.44799041911,8987,7881,1106,13.0740504752,5122,4907,215,195,4454,353,3213,1033,105808.314684576
44169438.13181222,38952.87428991157,6167,5803,364,7.9855321902812495,4138,3487,651,627,3210,358,2650,376,8215.975252793833
21244537.50011943,9563.282282852566,3094,3074,20,7.419079446000002,3101,3047,54,53,2899,331,520,10,50.513793867995844
10181925.0,1418.0141629715638,2696,2696,0,6.403445427,2719,2686,33,33,2384,329,518,7,0.0
608825.1755834739,8033.863461036601,4987,4985,2,5.262469243400001,5181,1857,3324,3165,1688,417,3110,298,10.505757899999999
4332.528727960001,740.1495316093637,6521,6519,2,4.349870762699999,7271,2105,5166,5046,1975,487,4433,460,1.8979
25686.01744658,629.4575617960638,3756,3755,1,3.0917110442999993,4025,2006,2019,1899,1868,455,2061,182,25.14478
143154117.98917812,188059.40500421505,10335,9937,398,7.0311445157999986,5871,3702,2169,1819,3381,454,5704,470,82748.26101232567
51821774.713126,1522.887431132,6091,5911,180,4.557689910000001,3584,2824,760,705,2509,424,3132,210,22211.93186853
53702.25021881199,692.0890777527467,3367,3201,166,3.0742648653,2797,2639,158,150,2371,453,996,15,50.5994027
57092.830287471996,739.9725349741468,2587,2327,260,2.1948177785999996,2324,1794,530,516,1708,390,770,53,50.7779617
2180380.8695718,999.6445485007001,3539,3539,0,3.4971593274,3644,3023,621,603,2785,452,1177,53,0.0
