transaction_amount_usd,usd_eth,historic_usd_val,eth_fee_used,ether_sent_out
13312.649150496001,683.64,430212.47000000003,0.001176,10.473186400000001
928.7803568880001,729.34,402697.66,0.00021,1.2734532
706.544753337,727.41,396630.78,0.0,0.9713157
924.8401507279999,705.64,379723.0300000001,0.0,1.3106402
8441.893227936,706.72,382081.35000000003,0.00042,1.8325938000000002
12803.896462235998,668.38,852497.3800000001,0.001764,10.1566122
513.1168186860001,693.57,373820.87,0.0,0.7398198
265.898965365,696.05,372493.81,0.0,0.3820113
518.5566237849999,715.15,379597.42,0.000378247016448,0.7151019
277.63850940350005,696.73,366942.05,0.0,0.39848795000000004
84.606067908,640.84,215325.56,0.0,0.1320237
13471.266557378001,577.01,307980.48999999993,0.001176,3.3466778
1175.733053693,602.59,317762.27999999997,0.000294,1.9501327000000002
298.76659500999995,584.77,306094.54,0.0,0.510913
16054.500151367998,585.76,699212.0400000002,0.0014532,0.40798305
184.12174659,569.64,305936.73999999993,0.0,0.32322475
77863.8516933515,512.03,833939.5799999998,0.0039585,72.05867705
4989.1425803540005,566.59,335979.75,0.0,8.8055606
3849.9387616,557.12,321902.19,0.0,6.91043
1619.418534108,577.23,329348.05000000005,0.0,2.8054995999999996
3179.281840128,579.01,365594.18,0.0,5.4908928
140.9637923425,590.53,229959.45,0.0,0.23870725
140.9151704,619.04,239547.15999999997,0.0,0.227635
2182.2827728999996,591.31,324407.67,0.00027412,3.69059
2470.97755933,608.23,328974.58,0.0,4.062571
502.50629039999995,606.3,325974.3,0.000189,0.828808
214.18512732000005,604.44,323318.62,0.0,0.35435300000000003
294.43001174999995,599.55,319086.13,0.0,0.491085
227.59564604,593.38,313762.23,0.0,0.383558
421.62622867,524.74,274895.11000000004,0.0,0.8034954999999999
427.2704715375,531.15,275993.07,0.0,0.80442525
282.3765063674999,494.53,255181.15,0.0,0.5709997499999999
220.8255401,476.3,244131.69,0.0,0.463627
193.31814916750002,519.83,264620.56999999995,0.0,0.37188725
111.975879394,487.51,244875.84,0.0,0.22968940000000002
128.721109152,497.22,313960.8,0.0005271,0.2588816
107.473076832,496.74,246816.67,0.0,0.21635680000000002
45559087.61756409,517.63,260492275.32,0.009639000000000002,0.3245464
45.132932845000006,538.45,270926999.95000005,0.000105,0.08382
65.89835328,536.16,331110.98,0.0,0.122908
19388223.8512543,525.77,283931023.61,0.001008,0.26559
23901927.31127848,462.16,273479505.96,0.002394,0.152453
71.8287864,474.18,287095.18999999994,0.0,0.15148
45909814.296801746,455.25,315296749.70000005,0.00399,0.285267
13125937.7262951,458.82,330893592.80999994,0.002394,0.233055
845.6840754,429.58,254933.29,0.00735,1.7978200000000002
855.6361770000001,441.75,260164.94000000003,0.032633999999999996,1.186652
2380033.8260923205,420.72,306081586.05,0.033516000000000004,20.891633
223.3537605,435.25,305617.98,0.0,0.513162
287.93484918,453.42,317263.68,0.0,0.6350290000000001
23.166957,451.95,315182.08,0.0,0.05126
157504.9242,476.58,486790.95,0.0252483,0.49
27993.1213735,461.95,550386.38,0.002499,30.59773
