transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_transfers,outbound_transfers,unique_address_sent,unique_outgoing_address,ether_sent_out,ether_recv_in
1965309394.696099,3398.82,77620,74792,2828,174.70838879648673,4.402877453084292,27375,19689,17361,50244,277168.6021649594,301064.25356029195
387566066.09884405,3435.76,68793,65964,2829,112.72048608087908,3.209786022369003,22955,16873,15126,46010,68529.228442626,44274.36264023312
573837928.5956925,3328.85,63409,60579,2830,105.53869134416951,3.3366351011143105,19572,14010,12370,43399,72477.59888768052,99905.63514079554
623462851.5524557,2966.51,76464,73641,2823,211.0314268541776,5.142830909966421,29002,21499,18550,47970,110406.76617756794,99760.34991253643
730922665.3685473,2760.2,73579,70872,2707,231.16839735947792,5.712572502845753,26664,19201,16948,47989,122941.67565143901,141866.18804269453
664424945.52068,3078.88,72420,69745,2675,156.81451973479665,3.751434368131296,26040,18955,16747,47197,107069.53024620505,108731.32770236064
437583111.34816605,3154.62,73485,70760,2725,162.40336081676782,4.147587305841693,23878,17250,15137,48446,69998.04499825058,68713.78442911817
704606674.8781104,2930.86,73934,71198,2736,160.4318857349523,4.096589606784738,25094,18386,16090,47959,119571.06762161342,120838.46230411158
171097053.3267997,2925.34,64523,61790,2733,87.13027642874955,2.6692803244306713,19588,13939,12499,43213,30810.056189780622,27677.864300418696
265009235.64987487,3064.21,58758,56020,2738,100.36111550548551,3.59860522081578,17283,12415,10943,39164,43355.35418651522,43129.983192409476
476961324.74602276,2927.73,62376,59589,2787,153.91006250975383,4.8361691299638565,19347,13565,12093,42495,83949.18704065793,78962.46285397811
386958972.98694783,2807.44,64890,62079,2811,167.94360212120168,5.196980971074816,21307,15217,13491,43049,64666.343221673174,73167.04697970168
348685295.46590036,2850.87,63744,61001,2743,152.27344908421557,4.493614982604867,20700,15055,13438,42244,59919.478731952244,62388.90273261834
276730365.1721495,3000.83,66732,64030,2702,194.74911993650542,5.744259020838282,21476,15592,13814,44829,54195.91024278879,38022.03118413293
516620879.748881,3310.63,73036,70215,2821,191.90579082485505,5.103620972656584,25241,18438,16489,47534,78201.2979419841,77847.81650115241
250357649.4863171,3389.48,67588,64802,2786,124.85596001214286,3.588286365537888,22804,16394,14745,44791,41831.60292242933,32031.541125128726
271079262.2236852,3420.14,63186,60448,2738,116.63639884972582,3.50363322039129,19848,14120,12543,42555,39305.581483795744,39954.116137847
499648612.9994513,3384.5,70342,67568,2774,213.96010949823966,5.689976156422362,22407,15809,13953,48172,71514.187306788,76114.29932327592
505541320.0553707,3516.09,82356,79547,2809,291.2305155066729,6.9833405619400715,25596,17925,15806,57570,74404.13878833884,69375.26391619109
734356432.0319356,3576.08,103762,100915,2847,388.3907299384196,8.416316427511273,27241,19282,16843,76154,93309.94233511717,112042.40773309596
435855782.6680119,3588.2,96147,92457,3690,373.13361826202527,11.019933172520957,29936,19925,17289,67979,64482.124727344744,56987.07505750893
587556883.937302,3562.84,109591,104006,5585,342.08300213387366,13.920204843286728,27818,19017,16572,80915,82851.93927059612,82060.56983374254
151315372.55159652,3576.4,80543,74972,5571,178.38467194291235,9.191413997283883,24520,17451,15562,53987,23561.28382359641,18748.12579266478
198725779.09829897,3416.49,71810,66499,5311,157.47747509704612,8.606800126913708,21581,15274,13517,47779,26594.874973916838,31571.775330430308
409625461.75491405,3544.14,80642,75375,5267,241.2528120893695,11.441906425843655,24248,16715,14766,54638,52761.476200860285,62816.76330291611
412442861.39632356,3490.61,85407,80127,5280,215.5171480690113,9.780237141586925,27048,19234,16650,56940,65132.24612553153,53025.57196251714
571077692.7606609,3607.55,87727,82395,5332,242.33499116376578,10.783380396833289,25683,18942,16823,59161,77270.86947996929,81029.83120627506
3598876100.816097,3791.23,93756,88373,5383,322.02692685696337,13.810923202444936,26462,19056,16776,63334,473113.82684512436,476149.6314035434
652655634.3882437,3868.16,104694,99188,5506,394.48265510626,14.783138429398837,37410,28190,22172,64898,87275.00547705538,81450.08200336005
376928267.2251777,3829.61,84698,79299,5399,205.65377915671777,9.49584589610162,26970,19454,17032,55544,52131.6654124949,46293.04812887816
434515222.5268317,3846.66,79402,73983,5419,167.0932643290894,8.38197989771583,24330,17623,15268,52429,49627.27668314,63331.815757271084
719448722.1225791,3746.14,85243,79780,5463,237.90757305525722,10.486421213945839,28062,20040,17008,56064,95828.24167661686,96222.4350526509
566465520.5124049,3877.45,93121,87548,5573,203.96463533983763,8.543261904514427,31724,22771,19158,60722,71997.52706686655,74094.75536421701
714842049.5269006,4162.49,101795,96362,5433,252.10602065841206,9.090205078471566,33618,24650,21155,67076,98603.00429681502,73131.23399009995
1166992086.8820949,4062.76,100132,94623,5509,262.62191381490686,10.449288540722325,33009,23904,20718,66238,135144.72777478857,152096.47940508294
631297520.1566757,3971.95,104187,98594,5593,251.20903798766898,9.491010560519797,31892,23744,20482,69850,76769.39650283953,82169.54284853088
359551418.3236573,4168.96,104303,98618,5685,191.00684416968267,7.771938360116239,28667,21272,18769,72005,43089.96223878781,43154.908981770146
